split,file,seed,bytes,sha256
train,all_zero.bin,20260609,32768,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479
train,all_one.bin,20260609,32768,2d864c0b789a43214eee8524d3182075125e5ca2cd527f3582ec87ffd94076bc
train,random.bin,20260609,32768,14a88a02bf60a811f136d7c5e26d63d73e3c153572f58118c84fbb1deefb9317
train,zero_blocks_75.bin,20260609,32768,7ef704036392c9729245e9ef06b670429db3daed51684f218d63fab08adcf073
train,boundary_zeros.bin,20260609,32768,403e7492f9811d808ed3ba55cfcafa411d52257c073b4490662f31e1b37d997d
train,sparse_bits_001.bin,20260609,32768,88df7899c65109de1049a2d9411035eac58df2efa39e09a3a610c20f6bc4a4a4
train,sparse_bits_01.bin,20260609,32768,4bc84d5c30be13b4f9c0de4235d238772b9d0300b90d63ebba82a8c92aa28f1d
train,dense_bits_99.bin,20260609,32768,799085cd56fdc41de169cacfcacd1f25c4dfa50e0cab14a068c859d710d58c4b
train,clustered_bits.bin,20260609,32768,33e568e5ffb0de2479704ec98fb7c5bb23647688666f3f5117d1666db7b7a52a
validation,all_zero.bin,20261609,32768,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479
validation,all_one.bin,20261609,32768,2d864c0b789a43214eee8524d3182075125e5ca2cd527f3582ec87ffd94076bc
validation,random.bin,20261609,32768,b83829744ceaa95ab811fefe5bb39cc364f45e3b8df5691457fe5238a388690e
validation,zero_blocks_75.bin,20261609,32768,f867cd3b58a4398c60c94f97dddfcf0237ae99891e05cc59377cb761d7c77a5e
validation,boundary_zeros.bin,20261609,32768,ac50dd493990592cbe0f636d0a73a5ce2aeb4a97fa158edcf78671b8ce6349a0
validation,sparse_bits_001.bin,20261609,32768,77ee9e323bc2b4ae0f694328929bb58ff49f55040e8465c3a14f95822ed34046
validation,sparse_bits_01.bin,20261609,32768,744eb974b1e05c607a2611228e0b7df0ee0305da17f6a416366099d5c6689283
validation,dense_bits_99.bin,20261609,32768,03273b8843a01aba4159498e348ffd31d384a0c2191af2cd4f10f2a0d0e594ee
validation,clustered_bits.bin,20261609,32768,f8de616df2ac888f5ff07d0592a3e81b17b93408cae1c54d0a1e32f49ca9a5de
test,all_zero.bin,20262609,32768,c35020473aed1b4642cd726cad727b63fff2824ad68cedd7ffb73c7cbd890479
test,all_one.bin,20262609,32768,2d864c0b789a43214eee8524d3182075125e5ca2cd527f3582ec87ffd94076bc
test,random.bin,20262609,32768,9fd244f4f53a8c3da2142a70c8a209992325ca4739f75b908e50733ea7c1eec5
test,zero_blocks_75.bin,20262609,32768,fde7e47978ade0961e63dd18bd0497ef26004e61e398dff778744024ff689b8e
test,boundary_zeros.bin,20262609,32768,1a16c503757fbdd6d28e8ee2d65c103dc754bd6889c4d570d715527dc6e5354b
test,sparse_bits_001.bin,20262609,32768,30131ebbad57cb39b3f6e232dd867da85b214692c0f1de184587ede304ef9f58
test,sparse_bits_01.bin,20262609,32768,2ec67ed4e4f6491987245b90b44f1e31e4c33a062a22e896403f483040217a4c
test,dense_bits_99.bin,20262609,32768,30ebe0975767e6e51495721e6fac775d088570591077c0e66c2bda71f16bf9b3
test,clustered_bits.bin,20262609,32768,523608aab955b4f763adf7813987404e32d2019bdde6e9b9252863088360b76d
